Epoch,IP,Port,Avg SYN-ACK Time,Avg Transmission Time,Avg Throughput,Handshake Rate,Request Rate
1,192.168.0.176,3128,0.0032356977462768555,3.960772507999536,666.734190038786,100.0,100.0
1,192.168.0.1,80,0.0015981197357177734,1.8089649339999596,444.9182525405628,100.0,100.0
2,192.168.0.1,80,0.0015981197357177734,1.8089649339999596,444.9182525405628,100.0,100.0
2,192.168.0.176,3128,0.0033625364303588867,2.3200209699998595,677.7193328015267,100.0,100.0
3,192.168.0.176,3128,0.0033625364303588867,2.3200209699998595,677.7193328015267,100.0,100.0
3,192.168.0.1,80,0.00115966796875,4.831874682499802,553.8003799344574,100.0,100.0
4,192.168.0.1,80,0.00115966796875,4.831874682499802,553.8003799344574,100.0,100.0
4,192.168.0.176,3128,0.002755284309387207,1.758113870499983,683.2031673925223,100.0,100.0
5,192.168.0.176,3128,0.002755284309387207,1.758113870499983,683.2031673925223,100.0,100.0
5,192.168.0.1,80,0.0013761520385742188,4.442922029000329,652.9836779974726,100.0,100.0
6,192.168.0.1,80,0.0013761520385742188,4.442922029000329,652.9836779974726,100.0,100.0
6,192.168.0.176,3128,0.0025178194046020508,2.598920933500267,514.893919602197,100.0,100.0
7,192.168.0.176,3128,0.0025178194046020508,2.598920933500267,514.893919602197,100.0,100.0
7,192.168.0.1,80,0.0009865760803222656,2.9179992895005853,951.2348664914446,100.0,100.0
8,192.168.0.1,80,0.0009865760803222656,2.9179992895005853,951.2348664914446,100.0,100.0
8,192.168.0.176,3128,0.0037147998809814453,1.8228607435003141,639.6600142764025,100.0,100.0
9,192.168.0.176,3128,0.0037147998809814453,1.8228607435003141,639.6600142764025,100.0,100.0
9,192.168.0.1,80,0.0021419525146484375,2.372798449000584,332.0463332905774,100.0,100.0
10,192.168.0.1,80,0.0021419525146484375,2.372798449000584,332.0463332905774,100.0,100.0
10,192.168.0.176,3128,0.0025281906127929688,3.058345422000457,710.6057610258813,100.0,50.0
1,192.168.0.176,1080,0.00256192684173584,1.6924059289995057,464.6634115007815,100.0,50.0
2,192.168.0.176,1080,0.004608869552612305,3.3016344284997103,428.39814898165923,100.0,100.0
3,192.168.0.176,1080,0.0025790929794311523,3.487477589500486,529.3035193364691,100.0,100.0
4,192.168.0.176,1080,0.0027778148651123047,1.2055569204994754,903.7533478107118,100.0,50.0
5,192.168.0.176,1080,0.0021425485610961914,2.515283408000869,840.1297802791809,100.0,100.0
6,192.168.0.176,1080,0.0037893056869506836,1.6912536164991252,558.7153521587957,100.0,100.0
7,192.168.0.176,1080,0.0023490190505981445,4.047352937501273,368.2983939289986,100.0,100.0
8,192.168.0.176,1080,0.0027636289596557617,2.2577530934995593,621.4187624598246,100.0,100.0
9,192.168.0.176,1080,0.003650665283203125,2.22928947300079,652.951441505349,100.0,100.0
10,192.168.0.176,1080,0.0036497116088867188,5.132507010000154,763.5373491568163,100.0,100.0
