Epoch,IP,Port,Avg SYN-ACK Time,Avg Transmission Time,Avg Throughput,Handshake Rate,Request Rate
1,192.168.0.176,3128,0.0023391246795654297,13.774765733001004,216.93476729932686,100.0,100.0
1,192.168.0.1,80,0.0012011528015136719,15.10164170400003,207.0325391749916,100.0,100.0
2,192.168.0.1,80,0.0012011528015136719,15.10164170400003,207.0325391749916,100.0,100.0
2,192.168.0.176,3128,0.002340078353881836,1.0,0.0,100.0,0.0
3,192.168.0.1,80,0.0010857582092285156,1.0,0.0,100.0,0.0
1,192.168.0.176,1080,0.003412961959838867,13.343881165000312,161.00857275039928,100.0,100.0
2,192.168.0.176,1080,0.002669095993041992,1.0,0.0,100.0,0.0
