Epoch,IP,Port,Avg SYN-ACK Time,Avg Transmission Time,Avg Throughput,Handshake Rate,Request Rate
1,192.168.0.1,80,0.02456955909729004,11.590883960199426,205.0552972966446,100.0,100.0
1,192.168.0.176,3128,0.12914915084838868,11.627186697099386,266.22178184801396,90.0,100.0
2,192.168.0.176,3128,0.12914915084838868,11.627186697099386,266.22178184801396,90.0,100.0
2,192.168.0.1,80,0.1269834280014038,9.692890780398738,268.40008924990065,90.0,100.0
3,192.168.0.1,80,0.1269834280014038,9.692890780398738,268.40008924990065,90.0,100.0
3,192.168.0.176,3128,0.12972664833068848,11.290829033699993,218.4875698333317,90.0,100.0
4,192.168.0.1,80,0.03038444519042969,13.49165267169883,225.98122077813824,100.0,100.0
4,192.168.0.176,3128,0.12972664833068848,11.290829033699993,218.4875698333317,90.0,100.0
5,192.168.0.1,80,0.0307633638381958,16.225148083998647,181.8782735359422,100.0,100.0
5,192.168.0.176,3128,0.12972664833068848,11.290829033699993,218.4875698333317,90.0,100.0
6,192.168.0.176,3128,0.12972664833068848,11.290829033699993,218.4875698333317,90.0,100.0
6,192.168.0.1,80,0.03722603321075439,11.446657369500462,180.19880966778277,100.0,90.0
7,192.168.0.176,3128,0.035219883918762206,10.501406046199554,186.88426248561362,100.0,100.0
7,192.168.0.1,80,0.03722603321075439,11.446657369500462,180.19880966778277,100.0,90.0
8,192.168.0.176,3128,0.1297370433807373,11.410142423300567,256.0772524530529,90.0,100.0
8,192.168.0.1,80,0.03722603321075439,11.446657369500462,180.19880966778277,100.0,90.0
9,192.168.0.176,3128,0.026186180114746094,14.057584404398948,371.44651732393515,100.0,100.0
9,192.168.0.1,80,0.03722603321075439,11.446657369500462,180.19880966778277,100.0,90.0
10,192.168.0.176,3128,0.03316092491149902,13.698791514199547,193.1339237094079,100.0,100.0
10,192.168.0.1,80,0.03722603321075439,11.446657369500462,180.19880966778277,100.0,90.0
1,192.168.0.176,1080,0.032540202140808105,9.64465544830091,227.80628028517177,100.0,90.0
2,192.168.0.176,1080,0.03466563224792481,11.002881703300954,212.23755909505627,100.0,90.0
3,192.168.0.176,1080,0.03167417049407959,11.745112515200162,167.7050014703351,100.0,100.0
4,192.168.0.176,1080,0.036192011833190915,7.869200565999199,159.10710781064824,100.0,90.0
5,192.168.0.176,1080,0.22834689617156984,11.449871985398932,153.0316020438282,80.0,100.0
6,192.168.0.176,1080,0.13271186351776124,9.770005776199104,204.5498001264156,90.0,100.0
7,192.168.0.176,1080,0.031937789916992185,8.857037383100396,200.38701645652242,100.0,100.0
8,192.168.0.176,1080,0.03514671325683594,11.67792796940048,186.97344473178086,100.0,90.0
9,192.168.0.176,1080,0.029787540435791016,13.23447639880178,276.2329164658134,100.0,90.0
10,192.168.0.176,1080,0.03673882484436035,13.516045492199192,226.22064624083782,100.0,100.0
