Epoch,IP,Port,Avg SYN-ACK Time,Avg Transmission Time,Avg Throughput,Handshake Rate,Request Rate
1,192.168.0.176,3128,0.003274679183959961,2.7371673789998567,791.5967535443099,100.0,100.0
1,192.168.0.1,80,0.0019092559814453125,5.573895112500395,701.1835480352188,100.0,100.0
2,192.168.0.1,80,0.0019092559814453125,5.573895112500395,701.1835480352188,100.0,100.0
2,192.168.0.176,3128,0.0023082494735717773,2.2137106635004784,307.40865746802774,100.0,100.0
3,192.168.0.176,3128,0.0023082494735717773,2.2137106635004784,307.40865746802774,100.0,100.0
3,192.168.0.1,80,0.0017219781875610352,7.077614129500034,454.4027333949227,100.0,100.0
4,192.168.0.1,80,0.0017219781875610352,7.077614129500034,454.4027333949227,100.0,100.0
4,192.168.0.176,3128,0.0022754669189453125,4.161715607000133,462.4952679969899,100.0,100.0
5,192.168.0.176,3128,0.0022754669189453125,4.161715607000133,462.4952679969899,100.0,100.0
5,192.168.0.1,80,0.0017337799072265625,2.028037149500051,343.76481938192603,100.0,100.0
6,192.168.0.1,80,0.0017337799072265625,2.028037149500051,343.76481938192603,100.0,100.0
6,192.168.0.176,3128,0.0028203725814819336,3.706042095999692,500.3598855249287,100.0,100.0
7,192.168.0.176,3128,0.0028203725814819336,3.706042095999692,500.3598855249287,100.0,100.0
7,192.168.0.1,80,0.0013059377670288086,3.8368836539998483,455.8791284288104,100.0,100.0
8,192.168.0.1,80,0.0013059377670288086,3.8368836539998483,455.8791284288104,100.0,100.0
8,192.168.0.176,3128,0.0026345252990722656,2.293847288499819,750.942495289104,100.0,100.0
9,192.168.0.176,3128,0.0026345252990722656,2.293847288499819,750.942495289104,100.0,100.0
9,192.168.0.1,80,0.001228928565979004,4.405629302500074,578.3853681459537,100.0,100.0
10,192.168.0.1,80,0.001228928565979004,4.405629302500074,578.3853681459537,100.0,100.0
10,192.168.0.176,3128,0.0029315948486328125,5.396383232999597,354.8412251175366,100.0,100.0
1,192.168.0.176,1080,0.0028138160705566406,2.7642178495002554,287.0230374476647,100.0,100.0
2,192.168.0.176,1080,0.00240933895111084,2.230808753999554,664.1999156393176,100.0,100.0
3,192.168.0.176,1080,0.002964615821838379,6.575983215499946,606.8288324358786,100.0,100.0
4,192.168.0.176,1080,0.002879023551940918,3.405378270500023,500.53300537342966,100.0,100.0
5,192.168.0.176,1080,0.0023453235626220703,6.245972826500292,519.2188825408135,100.0,100.0
6,192.168.0.176,1080,0.003036022186279297,2.868524731999969,653.6094785979976,100.0,100.0
7,192.168.0.176,1080,0.0030486583709716797,3.908670559500024,229.15224439950046,100.0,100.0
8,192.168.0.176,1080,0.003323674201965332,3.935737017000065,921.9993104387261,100.0,100.0
9,192.168.0.176,1080,0.0023633241653442383,3.7452804079994166,666.7812085707646,100.0,100.0
10,192.168.0.176,1080,0.003119349479675293,4.930647998999575,396.1977704190483,100.0,100.0
