Epoch,IP,Port,Avg SYN-ACK Time,Avg Transmission Time,Avg Throughput,Handshake Rate,Request Rate
1,192.168.0.176,3128,0.028664183616638184,4.328487016799954,332.12023315689777,100.0,100.0
1,192.168.0.1,80,0.12554144859313965,7.621873913600029,245.38060373424682,90.0,100.0
2,192.168.0.176,3128,0.033184051513671875,8.666857306100065,484.13302850378176,100.0,100.0
2,192.168.0.1,80,0.12554144859313965,7.621873913600029,245.38060373424682,90.0,100.0
3,192.168.0.176,3128,0.032551360130310056,10.248791900900141,291.15195891704457,100.0,100.0
3,192.168.0.1,80,0.12554144859313965,7.621873913600029,245.38060373424682,90.0,100.0
4,192.168.0.176,3128,0.034480929374694824,6.786014081199755,288.9549266482446,100.0,100.0
4,192.168.0.1,80,0.12554144859313965,7.621873913600029,245.38060373424682,90.0,100.0
5,192.168.0.176,3128,0.030519819259643553,5.515786058500089,186.3591716541036,100.0,100.0
5,192.168.0.1,80,0.12554144859313965,7.621873913600029,245.38060373424682,90.0,100.0
6,192.168.0.176,3128,0.037747764587402345,7.905165946399938,323.3374725658341,100.0,100.0
6,192.168.0.1,80,0.12554144859313965,7.621873913600029,245.38060373424682,90.0,100.0
7,192.168.0.176,3128,0.03576686382293701,8.306757991999802,348.06590158921756,100.0,100.0
7,192.168.0.1,80,0.12554144859313965,7.621873913600029,245.38060373424682,90.0,100.0
8,192.168.0.176,3128,0.036923789978027345,6.373528630999862,345.18000005771466,100.0,100.0
8,192.168.0.1,80,0.12554144859313965,7.621873913600029,245.38060373424682,90.0,100.0
9,192.168.0.176,3128,0.03243401050567627,9.197819036600412,322.7337599460046,100.0,100.0
9,192.168.0.1,80,0.12554144859313965,7.621873913600029,245.38060373424682,90.0,100.0
10,192.168.0.176,3128,0.033625125885009766,8.208288040700245,374.857845784492,100.0,100.0
10,192.168.0.1,80,0.12554144859313965,7.621873913600029,245.38060373424682,90.0,100.0
1,192.168.0.176,1080,0.1298140048980713,10.77637421340005,398.75826983994443,90.0,100.0
2,192.168.0.176,1080,0.130198335647583,8.690384985800483,360.70064221317347,90.0,100.0
3,192.168.0.176,1080,0.031989550590515135,6.776478778699857,278.07456778146076,100.0,100.0
4,192.168.0.176,1080,0.22493443489074708,7.423770053699627,448.6410569150668,80.0,100.0
5,192.168.0.176,1080,0.035962462425231934,8.301602763000119,367.37292441213395,100.0,100.0
6,192.168.0.176,1080,0.025394105911254884,6.613464046799709,279.2602495373973,100.0,100.0
7,192.168.0.176,1080,0.03342945575714111,8.394528292999894,338.44189143039273,100.0,100.0
8,192.168.0.176,1080,0.03596079349517822,6.791687084999649,213.2332289597899,100.0,100.0
9,192.168.0.176,1080,0.12587623596191405,9.248049457299931,493.50610022932415,90.0,100.0
10,192.168.0.176,1080,0.03649272918701172,7.44045081080003,261.1752999808332,100.0,100.0
